Title,Author,Series,Settings,Blurb,Genres,Pages,Publication Info,Image URL,Character,ISBN,Language
Sunshine Becomes You,Ilana Tan,,,"“Walaupun tidak ada hal lain di dunia ini yang bisa kaupercayai, percayalah bahwa aku mencintaimu. Sepenuh hatiku.”  Ini adalah salah satu kisah yang terjadi di bawah langit kota New York… Ini kisah tentang harapan yang muncul di tengah keputusasaan… Tentang impian yang bertahan di antara keraguan… Dan tentang cinta yang memberikan alasan untuk bertahan hidup.  Awalnya Alex Hirano lebih memilih jauh-jauh dari gadis itu—malaikat kegelapannya yang sudah membuatnya cacat. Kemudian Mia Clark tertawa dan Alex bertanya-tanya bagaimana ia dulu bisa berpikir gadis yang memiliki tawa secerah matahari itu adalah malaikat kegelapannya.  Awalnya mata hitam yang menatapnya dengan tajam dan dingin itu membuat Mia gemetar ketakutan dan berharap bumi menelannya detik itu juga. Kemudian Alex Hirano tersenyum dan jantung Mia yang malang melonjak dan berdebar begitu keras sampai Mia takut Alex bisa mendengarnya.","Romance, Indonesian Literature, Fiction, Novels, Young Adult, Contemporary, Drama","432 pages, Mass Market Paperback","February 2, 2012 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1323845248i/13232499.jpg,"Mia Clark, Alex Hirano, Ray Hirano, Aaron Rogers",9789792278132,Indonesian
Canting,Arswendo Atmowiloto,,Indonesia,"For the batik-makers, canting, the copper pens to paint batik, are their spirits. At its most glorious moment canting is blown with deep and powerful feelings that are blended with the owner’s breath. But nowadays, hand-painted batik that is made by using a canting is crushed and cornered with the emerging of the new print batik. Hand-painted batik takes months and months to make, but this new kind only takes a few blinks. Canting is a symbol of a defeated and isolated culture because it is considered to be time-consuming. Ni––a girl who holds a bachelor degree in pharmacy, a bride-to-be from Ngabean––tries to explore hand-painted batik with a canting. However, she faces strong pressures from Pak Bei, a bold and handsome nobleman, Bu Bei, her mother, who used to be a batik painter, and her successful siblings. Canting, which is the signature of Ngabean’s batik cannot withstand the market demands. “When we acknowledge a sick culture, we must not cry, we must raise a flag instead.” Ni decides to be un-Javanese, to be different, to go against the flow in order to survive. Ni, who was born when Ki Ageng Suryamentaram died, is the second generation after her father, who dares to be un-Javanese.","Fiction, Indonesian Literature, Novels, Family, Classics, Cultural, Drama","408 pages, Paperback","January 1, 2007 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1475322408i/2090345.jpg,"Pak Bei, Ni, Bu Bei",9789792232493 (ISBN10: 9792232494),Indonesian
Entrok,Okky Madasari,,,"Marni, perempuan Jawa buta huruf yang masih memuja leluhur. Melalui sesajen dia menemukan dewa-dewanya, memanjatkan harapannya. Tak pernah dia mengenal Tuhan yang datang dari negeri nun jauh di sana. Dengan caranya sendiri dia mempertahankan hidup. Menukar keringat dengan sepeser demi sepeser uang. Adakah yang salah selama dia tidak mencuri, menipu, atau membunuh?  Rahayu, anak Marni. Generasi baru yang dibentuk oleh sekolah dan berbagai kemudahan hidup. Pemeluk agama Tuhan yang taat. Penjunjung akal sehat. Berdiri tegak melawan leluhur, sekalipun ibu kandungnya sendiri.  Adakah yang salah jika mereka berbeda?  Marni dan Rahayu, dua orang yang terikat darah namun menjadi orang asing bagi satu sama lain selama bertahun-tahun. Bagi Marni, Rahayu adalah manusia tak punya jiwa. Bagi Rahayu, Marni adalah pendosa. Keduanya hidup dalam pemikiran masing-masing tanpa pernah ada titik temu.  Lalu bunyi sepatu-sepatu tinggi itu, yang senantiasa mengganggu dan merusak jiwa. Mereka menjadi penguasa masa, yang memainkan kuasa sesuai keinginan. Mengubah warna langit dan sawah menjadi merah, mengubah darah menjadi kuning. Senapan teracung di mana-mana.  Marni dan Rahayu, dua generasi yang tak pernah bisa mengerti, akhirnya menyadari ada satu titik singgung dalam hidup mereka. Keduanya sama-sama menjadi korban orang-orang yang punya kuasa, sama-sama melawan senjata.","Fiction, Novels, Historical Fiction, Indonesian Literature, Feminism, Drama, Family","282 pages, Paperback","April 5, 2010 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1487049969i/7876993.jpg,,9789792255898,Indonesian
Belenggu,Armijn Pane,,,"""""Banyak yang hendak saya nyatakan, apakah yang dapat menghalangi saya, kalau menurut keyakinan saya, saya patut berbicara? Karena cara saya melahirkan keyakinan akan dicela setengah orang? Karena soal yang saya kemukakan, menurut setengah orang mesti didiamkan? Karena saya akan dihinakan orang? Karena saya akan dimaki? Kalau keyakinan sudah menjadi pohon beringin, robohlah segala pertimbangan lain-lain. Perahu tumpangan keyakinanku, berlayarlah engkau, jangan enggan menempuh angin ribut, taufan badai, ke tempat pelabuhan yang hendak engkau tuju. Berlayarlah engkau ke dunia baru""""  Armijn Pane Oktober-Desember 1938","Indonesian Literature, Classics, Novels, Fiction, Feminism, Romance, Roman","159 pages, Paperback","January 1, 1999 by Penerbit Dian Rakyat",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309710735i/2179306.jpg,"Dr. Sukartono, Sumartini, Rohayah",(ISBN10: 9795230468),Indonesian
Cintapuccino,Icha Rahmanti,,,"Cintapuccino membawa saya ber-flashback-ria ke zaman sekolah/kuliah dulu. Obsesi? oh obsesi? racun tapi bikin kangen!!!  Cerita cinta yang simpel dengan bahasa yang simpel juga, tapi semua kerasa pass karena nggak berlebihan.  ?bikin penasaran buat baca terus?  Emotion?s flowing down on me when I read this book.  Buku ini bisa bikin Na tersenyum, ketawa & juga menangis!  Lucu, hidup dan cewek banget!","Chick Lit, Indonesian Literature, Novels, Romance, Fiction, Film, Contemporary","260 pages, Paperback","January 1, 2005 by GagasMedia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1218168416i/1327308.jpg,,9789793600222 (ISBN10: 9793600225),Indonesian
Bekisar Merah,Ahmad Tohari,Bekisar Merah (#1-2),Karangsoga (Indonesia),"Edisi cetak ulang yang terdiri atas Bekisar Merah dan Belantik.  **** Bekisar adalah unggas elok, hasil kawin silang antara ayam hutan dan ayam biasa yang sering menjadi hiasan rumah orang-orang kaya. Dan, adalah Lasi, anak desa yang berayah bekas serdadu Jepang yang memiliki kecantikan khas—kulit putih, mata eksotis—membawa dirinya menjadi bekisar di kehidupan megah seorang lelaki kaya di Jakarta, melalui bisnis berahi kalangan atas yang tak disadarinya.  Lasi mencoba menikmati kemewahan itu, dan rela membayarnya dengan kesetiaan penuh pada Pak Han, suami tua yang sudah lemah. Namun Lasi gagap ketika nilai perkawinannya dengan Pak Han hanya sebuah keisengan, main-main.  Hanya main-main, longgar, dan bagi Lasi sangat ganjil. Karena tanpa persetujuannya, Pak Han menceraikannya dan menyerahkannya kepada Bambung, seorang belantik kekuasaan di negeri ini, yang memang sudah menyukai Lasi sejak pertama melihat wanita itu bersama Handarbeni. Lasi kembali hidup di tengah kemewahan yang datang serba mudah, namun sama sekali tak dipahaminya. Apalagi kemudian ia terseret kehidupan sang belantik kekuasaan dalam berurusan dengan penguasa-penguasa negeri.  Di tengah kebingungannya itulah Lasi bertemu lagi dengan cinta lamanya di desa, Kanjat, yang kini sudah berprofesi dosen. Mereka kabur bersama, bahkan Lasi lalu menikah siri dengannya. Namun kaki-tangan Bambung berhasil menemukan mereka dan menyeret Lasi kembali ke Jakarta. Berhasilkah Kanjat membela cintanya, dan kembali merebut Lasi yang sedang mengandung buah kasih mereka?","Fiction, Indonesian Literature, Novels, Romance, Drama, Historical Fiction, Literature","358 pages, Paperback","February 1, 2011 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1300345853i/10805300.jpg,Lasi (Lasiyah),9789792266320 (ISBN10: 9792266321),Indonesian
Dian Yang Tak Kunjung Padam,Sutan Takdir Alisjahbana,,Indonesia,"Di kawasan Gunung Megang, dekat kota Palembang, tinggalah pemuda Yasin dengan ibunya. Ayahnya telah meninggal. Pada suatu hari ia berperahu ke Palembang dan bertemu pandang dengan seorang gadis jelita bernama Molek. Gadis itu putrid bangsawan di Palembang. Keduanya jatuh hati. Molek selalu teringat kegagahan Yasin, dan secara tak sadar Molek mulai suka berdandan. Begitu juga Yasin menjadi gelisah terbayang wajah Molek. Pada suatu hari Yasin dan ibunya diundang ke perhelatan perkawinan saudaranya, Madjid di Penaggiran. Selama menghadiri upacara perkawinan ini Yasin selalu teringat Molek.  Sepulang dari pesta perkawinan, Yasin memberanikan diri memohon kepada ibunya agar boleh menemui Moiek. Yasin kemudian menulis surat cinta kepada Molek dengan jalan menyelipkan surat itu di tempat mandi kekasihnya. Molek terkejut ketika mendapatkan surat Yasin, namun kegembiraan jelas terpancar dari wajahnya. Molek kemudian membalas surat cinta Yasin dan menyatakan keteguhan hatinya menerima cinta Yasin.  Maka tibalah keberanian Yasin untuk meminang Molek. Hal ini dipertimbangkannya dengan pesirah Thalib yang menikahkan Madjid dahulu. Lamaran pun diajukan. Tetapi orang Tua Molek, yakni R. Makhmud, adalah seorang bangsawan yang berharta. R. Makhmud marah besar menerima lamaran Yasin orang Uluan itu. Yasin pulang dengan hati yang hancur. Maka ditulisnya surat kepada Molek """"bahwa seolah-olah ia hendak melepaskan Molek saja. Namun Molek membalas surat Yasin bahwa ia akan tetap setia kepada Yasin dalam cinta. Yasin diminta menunggu dengan sabar saja.  Sementara itu seorang pedagang kaya keturunan Arab datang melamar Molek kepada orang tuanya. Nama pedagang itu ialah Sayid Mustafa. R. Makhmud dengan gembira menerima lamaran pedagang ini. Mengetahui bahwa ayahnya telah menerima lamaran orang Arab itu, maka Molek berusaha melarikan diri. Namun usahanya gagal.  Kemudian Molek dinikahkan dengan Sayid Mustafa yang sudah cukup berumur itu. Molek menerima kenyataan ini, meskipun cintanya tetap pada kekasihnya, Yasin.  Kehidupan rumah tangga Molek sengsara. Ia selalu kesepian karena suaminya jarang berada di rumah. Rasa sepi dan terkurung itu lebih terasa lagi ketika ayah bundanya pergi naik haji. Suami Molek sebenamya mengawininya hanya demi harta benda yang dimiliki orang tuanya. Dalam kesepian dan kesedihan itu, tubuh Molek mulai melayu. Dan dalam saat kesepian demikian itu terlebih-lebih lagi Molek teringat pada Yasin. Maka ketika ia sendirian di rumah, ditulisnya surat kepada Yasin. Molek menyatakan dalam surat itu, bahwa ia ingin benar bertemu dengan Yasin. Dengan menyamar sebagai pedagang nanas, Yasin dapat menemui kekasihnya, Molek. Pertemuan yang penuh kerinduan itu ditutup dengan pemyataan Molek bahwa rohnya adalah tetap milik Yasin selamanya, hanya tubuhnya saja milik suaminya.  Tak lama kemudian setelah pertemuan yang mengharukan itu, Molek jatuh sakit dan meninggal dunia. Yasin sangat hancur hatinya. Dan sebagai penghormatan terhadap mendiang kekasihnya, Yasin bekerja keras membanting tulang. Dan setiap hari Yasin mengunjungi kubur Molek, di sana ia mendoakan arwah Molek dan berkirim salam kepadanya.  Setelah ibu Yasin meninggal dunia juga, maka tak ada lagi penghiburan atas penderitaan batinnya. Maka Yasin akhirnya memutuskan untuk hidup sebagai pertapa di gunung Semenung. Dunia tidak memberikannya kebahagiaan, dan ia mencoba untuk meraihnya dengan jiwa dan rohnya.","Indonesian Literature, Classics, Literature, Novels, Romance, Fiction","155 pages, Paperback","January 1, 1986 by Dian Rakyat",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367298287i/1492461.jpg,,,Indonesian
Merahnya Merah,Iwan Simatupang,,,"“Sebelum revolusi, dia calon rahib. Selama revolusi, dia komandan kompi. Diakhir revolusi, dia algojo berdarah dingin. Sesudah revolusi, dia masuk rumah sakit jiwa!”  Pembukaan novel yang mencekam seperti itu, sampai dengan tahun 1960 silam, merupakan pembukaan novel yang khas milik Iwan Simatupang. Pembukaan novel yang padat, penuh dengan pandangan-pandangan hidupnya. Ini juga yang menjadi dasar konsep penulisan kesustraannya yang sarat dengan personifikasi teori eksistensialisme.  Novel yang mulai ditulis 18 Maret 1961 hingga 9 September 1961, menampilkan Tokoh kita. Yang dengan kesadarannya bergelimang pada nilai-nilai irasionalisme, kesadaran pada nilai-nilai ‘gelandangannya’, tak jelas mana makna dan realitas. Hingga akhirnya terbias menjadi manusia-manusia kalah dalam usaha memahami apa sebenarnya hakikat hidup ini.","Novels, Indonesian Literature, Fiction, Literature","124 pages, Paperback","January 1, 1987 by Gunung Agung",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463774180i/1606784.jpg,,(ISBN10: 9794120529),Indonesian
Tarian Bumi,Oka Rusmini,,,"Di tengah-tengah megahnya Bali, terselip berbagai bentuk ketidakadilan yang dialami perempuan Bali seperti masalah kasta. Perem-puan berkasta Brahmana (seperti tokoh Telaga di novel ini) tidak boleh bersuami dari kasta lebih rendah, harus berbicara dengan bahasa berbeda dan memandang semua segi kehidupan dari perspektif lebih tinggi. Konflik dimulai ketika Telaga jatuh cinta pada pria sudra. Telaga terjepit di antara cinta dan adat yang mesti dijunjung tinggi. Memilih salah satunya sama saja dengan mengorbankan separuh hidupnya. Dengan setting budaya Bali yang kental, novel ini menunjukkan posisi sebenarnya perempuan Bali di dalam masyarakatnya.  Rather than contesting established stereotypes, another recent text creates its own mythic quality through evocation of the on going, timeless quality of female experience. Tarian Bumi (Dance of the Earth) by Oka Rusmini focusses intensely on the interwoven stories of four generation of women living within the thight spatial and phsycological boundaries of the walled family compound of village Bali. Barbara Hatley, Literature, """"Mythology and Regime Change""""  Tarian Bumi menjadi fenomena sekaligus kontroversi. Novel ini dengan sangat terbuka menghantam keadaan yang melingkupi kehidupan perempuan di kalangan bangsawan Bali yang masih sangat feodal. Dalam konteks adat istiadat Bali, Tarian Bumi dipandang sebagai sebuah pemberontakan kepada adat. Tempo, 9 Mei 2004  Jika novelis Inggris, Graham Greene, merasa telah menemukan India yang sebenarnya justru dalam novel-novel dan cerita-cerita pendek yang ditulis R.K. Narayan, maka tak berlebihan jika kita pun merasa telah menemukan Bali yang sebenarnya melalui novel ini. Horison, Juli 2001  Bagi pembaca luar Bali, novel Oka Rusmini bukan saja indah dinikmati sebagai sastra melainkan pula mencerahkan banyak segi pemahaman lebih esensial dan kesalehan spiritual manusia budaya Bali. Kehadiran Oka Rusmini benar-benar fenomenal bagi karakter local genius Sastra Modern Indonesia mutakhir. Dami N Toda, Matabaca, vol. 2/No. 1/ September 2003","Indonesian Literature, Novels, Fiction, Feminism, Literature, Historical Fiction, Adult","182 pages, Paperback","January 1, 2007 by Gramedia Pustaka Utama",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1416983589i/1667447.jpg,"Ida Ayu Telaga, Luh Sekar",9789792228779,Indonesian
Ular Keempat,Gus tf Sakai,,Indonesia,"Betulkah orang-orang kampungku beribadah bukan karena Allah, melainkan karena ibadah itu telah diwariskan turun-temurun? dan betul pulakah apa yang dikatakannya, bahwa aku pergi haji ke Makkah tak lebih hanya karena kebanggaan?  Novel yang menceritakan tentang pergulatan seseorang ketika menjalankan ibadah haji ini mencoba menjawab pertanyaan-pertanyaan nakal sang pengarang sebagaimana kutipan diatas. Pergulatan itu muncul karena masa lalunya yang kelabu. Disisi lain, perjalanan ibadah tersebut dibayang-bayangi oleh kekuasaan yang ingin menghentikannya. Perjalan dan pergulatan itu ternyata memunculkan kesadaran baru akan hidup : terdapat setan yang paling berbahaya didunia ini, yakni ular keempat.  ...mengangkat fakta sejarah mengenai kisruh perjalanan haji tahun 1970 sebagai latar cerita. Secara konvensional, urutan peristiwa disusun kronologis. Di antara itu, pengarang memanfaatkan tokoh utama untuk memasukkan alam pikiran bawah sadar berjalin kalidan dengan mitos, halusinasi, dan kisah-kisah para aulia. ...struktur alur konvensional yang berangkat dari fakta sejarah menjadi alat semacam alat pembuka untuk masuk ke peristiwa surealis sebagai bagian dari kegelisahan si tokoh. Kenangan masa lalu, peristiwa masa kini, dan bayangan masa depan, seperti dibangun dalam struktur konvensional yang fleksibel yang dapat ditarik kesana kemari...  ( Dewan Juri Sayembara Menulis Novel DKJ 2003: Prof.Dr. Sapardi Djoko Damono, Prof. Dr. Budi Darma MA, Maman S Mahayana M.Hum. )",Indonesian Literature,"196 pages, Paperback","January 1, 2005 by KOMPAS Penerbit Buku Kompas",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1200105453i/2559175.jpg,,,Indonesian
